experiment,layer,T_mm,a_mm,g_mm,IntH2_total,IntH2_L1,IntH2_L2,IntH2_L3,IntH2_L4,B0_T,B0_Bx_T,B0_By_T,B0_Bz_T,Bcenter_T,Bcenter_Bx_T,Bcenter_By_T,Bcenter_Bz_T,SF,ResidualRatio,SF_Bx,ResidualRatio_Bx,SF_By,ResidualRatio_By,SF_Bz,ResidualRatio_Bz,Qint,g_eff_mm,T_calc_mm,GeometryMismatch_mm,a_expected_from_T_mm,Qratio_L1,Qratio_L2,Qratio_L3,Qratio_L4,B_1Hz_fT,B_avg_1_30_fT,B_max_1_30_fT,MaterialVolume_mm3,ScoreWithinExperiment,ScoreGlobal,ScoreMultiObjective
agmatrix,3,2.5,0.5,0.5,1.7494394e-17,6.8329798e-18,5.6304572e-18,5.0309566e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7494394e-17,0.5,2.5,0,NaN,NaN,NaN,NaN,NaN,6.02506707248185,1.9250350737405,6.02506707248185,190851.75370558,0.554216860022102,0.498679019065295,NaN
agmatrix,3,3.5,0.5,1,1.7106427e-17,7.7911916e-18,5.1102881e-18,4.2049469e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7106427e-17,1,3.5,0,NaN,NaN,NaN,NaN,NaN,5.957884621077,1.90356998899731,5.957884621077,191794.231501657,0.542878799144401,0.492726377985027,NaN
agmatrix,3,4.5,0.5,1.5,1.7400316e-17,8.8271005e-18,4.8075474e-18,3.7656681e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.7400316e-17,1.5,4.5,0,NaN,NaN,NaN,NaN,NaN,6.00884500847798,1.91985205390018,6.00884500847798,192736.709297734,0.55201571552265,0.49763739790949,NaN
agmatrix,3,3.4,1,0.2,1.0122468e-17,4.0445198e-18,2.9739851e-18,3.1039632e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0122468e-17,0.2,3.4,0,NaN,NaN,NaN,NaN,NaN,4.58306103036812,1.46430788610586,4.58306103036812,383399.967444098,0.366644430221764,0.412054598637455,NaN
agmatrix,3,4,1,0.5,9.959751e-18,4.4829055e-18,2.7807507e-18,2.6960948e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.959751e-18,0.5,4,0,NaN,NaN,NaN,NaN,NaN,4.54607582115121,1.45249095127415,4.54607582115121,384530.940799391,0.360600787071676,0.408923708737031,NaN
agmatrix,3,5,1,1,1.0261225e-17,5.5125038e-18,2.4930252e-18,2.2556957e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0261225e-17,1,5,0,NaN,NaN,NaN,NaN,NaN,4.61436600951421,1.47430996278218,4.61436600951421,386415.896391545,0.373046204839995,0.415653294619588,NaN
agmatrix,3,6,1,1.5,1.0582984e-17,6.2674156e-18,2.3714988e-18,1.9440695e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0582984e-17,1.5,6,0,NaN,NaN,NaN,NaN,NaN,4.68615343312361,1.4972463561267,4.68615343312361,388300.851983698,0.386097717847369,0.422704463922305,NaN
agmatrix,3,4.9,1.5,0.2,6.7830194e-18,2.8500623e-18,1.9555283e-18,1.9774288e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.7830194e-18,0.2,4.9,0,NaN,NaN,NaN,NaN,NaN,3.75166424172568,1.19867300452227,3.75166424172568,579341.101248493,0.285993293170993,0.382388007113771,NaN
agmatrix,3,5.5,1.5,0.5,6.9242229e-18,3.40857e-18,1.8457516e-18,1.6699013e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.9242229e-18,0.5,5.5,0,NaN,NaN,NaN,NaN,NaN,3.79051268444408,1.21108525054268,3.79051268444408,581037.561281432,0.293275226027416,0.386365312454063,NaN
agmatrix,3,6.5,1.5,1,7.2773417e-18,4.2293945e-18,1.7056989e-18,1.3422483e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.2773417e-18,1,6.5,0,NaN,NaN,NaN,NaN,NaN,3.88596440268831,1.24158248870757,3.88596440268831,583864.994669663,0.310733052320949,0.395817527301395,NaN
agmatrix,3,7.5,1.5,1.5,7.7474623e-18,5.0761832e-18,1.5430805e-18,1.1281986e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.7474623e-18,1.5,7.5,0,NaN,NaN,NaN,NaN,NaN,4.00951802405488,1.28105840686035,4.00951802405488,586692.428057894,0.333061134256674,0.407853813703082,NaN
agmatrix,3,6.4,2,0.2,5.1997865e-18,2.2573294e-18,1.4943676e-18,1.4480895e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.1997865e-18,0.2,6.4,0,NaN,NaN,NaN,NaN,NaN,3.28477170007418,1.04949881151585,3.28477170007418,778109.668441121,0.269428660566633,0.386913982830452,NaN
agmatrix,3,7,2,0.5,5.3768843e-18,2.8377942e-18,1.3650614e-18,1.1740286e-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.3768843e-18,0.5,7,0,NaN,NaN,NaN,NaN,NaN,3.34024082710093,1.06722143829356,3.34024082710093,780371.615151705,0.279774149507972,0.392554637038328,NaN
agmatrix,3,8,2,1,5.6403479e-18,3.5544853e-18,1.182566e-18,9.0329651e-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.6403479e-18,1,8,0,NaN,NaN,NaN,NaN,NaN,3.42109693988307,1.0930553171798,3.42109693988307,784141.526336012,0.295007581782696,0.400889761342393,NaN
agmatrix,3,9,2,1.5,5.9454427e-18,4.1641363e-18,1.0672528e-18,7.1405359e-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.9454427e-18,1.5,9,0,NaN,NaN,NaN,NaN,NaN,3.51240456770852,1.12222850047378,3.51240456770852,787911.43752032,0.312052334446916,0.4101859402272,NaN
